[2025-08-05T15:12:21+08:00][sql] CONNECT:[ UseTime:0.006300s ] mysql:host=124.220.1.39;port=3306;dbname=app_84000looking;charset=utf8mb4
[2025-08-05T15:12:21+08:00][sql] SHOW FULL COLUMNS FROM `sys_schedule` [ RunTime:0.004557s ]
[2025-08-05T15:12:21+08:00][sql] SELECT `id`,`addon`,`key`,`status`,`time`,`count`,`last_time`,`next_time`,`create_time`,`delete_time`,`update_time` FROM `sys_schedule` WHERE  `status` = 1 ORDER BY `id` DESC [ RunTime:0.004120s ]
[2025-08-05T15:12:21+08:00][sql] SELECT `key` FROM `addon` [ RunTime:0.004029s ]
[2025-08-05T15:12:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004086s ]
[2025-08-05T15:13:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.006945s ]
[2025-08-05T15:13:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004223s ]
[2025-08-05T15:14:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004168s ]
[2025-08-05T15:14:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004224s ]
[2025-08-05T15:15:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004160s ]
[2025-08-05T15:15:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004224s ]
[2025-08-05T15:16:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004210s ]
[2025-08-05T15:16:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004222s ]
[2025-08-05T15:17:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004186s ]
[2025-08-05T15:17:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004363s ]
[2025-08-05T15:18:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004171s ]
[2025-08-05T15:18:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004212s ]
[2025-08-05T15:19:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004166s ]
[2025-08-05T15:19:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004205s ]
[2025-08-05T15:20:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004171s ]
[2025-08-05T15:20:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004146s ]
[2025-08-05T15:21:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004202s ]
[2025-08-05T15:21:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004153s ]
[2025-08-05T15:22:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004197s ]
[2025-08-05T15:22:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004174s ]
[2025-08-05T15:23:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004200s ]
[2025-08-05T15:23:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004194s ]
[2025-08-05T15:24:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004181s ]
[2025-08-05T15:24:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004206s ]
[2025-08-05T15:25:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004228s ]
[2025-08-05T15:25:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004204s ]
[2025-08-05T15:26:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004173s ]
[2025-08-05T15:26:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004172s ]
[2025-08-05T15:27:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004217s ]
[2025-08-05T15:27:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004201s ]
[2025-08-05T15:28:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004216s ]
[2025-08-05T15:28:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004246s ]
[2025-08-05T15:29:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004177s ]
[2025-08-05T15:29:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004243s ]
[2025-08-05T15:30:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004239s ]
[2025-08-05T15:30:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004205s ]
[2025-08-05T15:31:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004205s ]
[2025-08-05T15:31:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004187s ]
[2025-08-05T15:32:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004280s ]
[2025-08-05T15:32:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004211s ]
[2025-08-05T15:33:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004190s ]
[2025-08-05T15:33:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004222s ]
[2025-08-05T15:34:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004143s ]
[2025-08-05T15:34:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.005221s ]
[2025-08-05T15:35:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004188s ]
[2025-08-05T15:35:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004262s ]
